,title,views,day
659,Kino_(band),216,2021-01-01
660,Car_Seat_Headrest,216,2021-01-01
661,Asian_Dub_Foundation,215,2021-01-01
662,The_Chordettes,215,2021-01-01
663,Dead_Can_Dance,215,2021-01-01
664,Dimmu_Borgir,215,2021-01-01
665,The_All-American_Rejects,215,2021-01-01
666,Mungo_Jerry,215,2021-01-01
667,Alien_Ant_Farm,214,2021-01-01
668,The_J._Geils_Band,214,2021-01-01
669,Mike_and_the_Mechanics,214,2021-01-01
670,Yeah_Yeah_Yeahs,214,2021-01-01
671,"10,000_Maniacs",213,2021-01-01
672,Wishbone_Ash,213,2021-01-01
673,Empire_of_the_Sun_(band),212,2021-01-01
674,The_Drifters,212,2021-01-01
675,Hoodoo_Gurus,211,2021-01-01
676,Blind_Faith,211,2021-01-01
677,Puddle_of_Mudd,211,2021-01-01
678,Rizzle_Kicks,210,2021-01-01
679,Big_Country,210,2021-01-01
680,P_(band),210,2021-01-01
681,Little_Big_Town,210,2021-01-01
682,Belle_and_Sebastian,210,2021-01-01
683,Band-Maid,210,2021-01-01
684,Power_Trip_(band),209,2021-01-01
685,Tesla_(band),209,2021-01-01
686,Phoenix_(band),209,2021-01-01
687,La_Roux,209,2021-01-01
688,Code_Orange_(band),209,2021-01-01
689,Selena_y_Los_Dinos,209,2021-01-01
690,Blind_Melon,209,2021-01-01
691,The_Rascals,209,2021-01-01
692,In_This_Moment,209,2021-01-01
693,Sistar,208,2021-01-01
694,Kíla,208,2021-01-01
695,Renaissance_(band),208,2021-01-01
